"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 10 12:26:42 CEST 2024","Thu Oct 10 12:27:44 CEST 2024","62341","chromium",".cucumber/features/dashboard.feature.spec.js","Main Page Modules and their functionality","","","navigation to Payroll module",""
"broken","Thu Oct 10 12:26:42 CEST 2024","Thu Oct 10 12:27:44 CEST 2024","62330","chromium",".cucumber/features/dashboard.feature.spec.js","Main Page Modules and their functionality","","","navigation to Employee_Master_data module",""
"passed","Thu Oct 10 00:18:15 CEST 2024","Thu Oct 10 00:18:30 CEST 2024","15244","",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality","","","Example #2",""
"failed","Wed Oct 09 16:35:26 CEST 2024","Wed Oct 09 16:36:11 CEST 2024","45046","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > add an employee , name and surname has numbers","","","Example #1",""
"failed","Thu Oct 10 12:29:13 CEST 2024","Thu Oct 10 12:29:37 CEST 2024","23996","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > Attempt to Add an Employee with a Duplicate Tax ID","","","Example #1",""
"broken","Thu Oct 10 12:26:42 CEST 2024","Thu Oct 10 12:27:44 CEST 2024","62293","chromium",".cucumber/features/dashboard.feature.spec.js","Main Page Modules and their functionality","","","navigation to Dashboard Module",""
"passed","Thu Oct 10 12:27:58 CEST 2024","Thu Oct 10 12:28:18 CEST 2024","19208","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality","","","Verify Visibility and Clickability of Company Dropdown Elements",""
"passed","Wed Oct 09 16:32:14 CEST 2024","Wed Oct 09 16:32:32 CEST 2024","18039","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality","","","if you enter a valid Postal code to system",""
"passed","Thu Oct 10 12:29:04 CEST 2024","Thu Oct 10 12:29:24 CEST 2024","19809","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > As a user, if I click Lines per page ""<number_chosen>"", the number of rows in the employee table should reflect the correct count.","","","As a user, if I click Lines per page ""25"", the number of rows in the employee table should reflect the correct count.",""
"failed","Thu Oct 10 11:01:10 CEST 2024","Thu Oct 10 11:01:53 CEST 2024","42653","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > Attempt to Add an Employee with a Duplicate Employee ID","","","Example #3",""
"failed","Thu Oct 10 12:29:19 CEST 2024","Thu Oct 10 12:29:45 CEST 2024","25790","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > Attempt to Add an Employee with a Duplicate Employee ID","","","Example #1",""
"passed","Thu Oct 10 12:29:24 CEST 2024","Thu Oct 10 12:29:38 CEST 2024","14170","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > As a user, if I click Lines per page ""<number_chosen>"", the number of rows in the employee table should reflect the correct count.","","","As a user, if I click Lines per page ""50"", the number of rows in the employee table should reflect the correct count.",""
"passed","Thu Oct 10 12:28:19 CEST 2024","Thu Oct 10 12:28:49 CEST 2024","30066","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > Adding one personal with acceptable data and verifying employee saved and employee data is seen in employee master data page","","","Example #2",""
"passed","Thu Oct 10 12:28:49 CEST 2024","Thu Oct 10 12:29:04 CEST 2024","15394","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > As a user, if I click Lines per page ""<number_chosen>"", the number of rows in the employee table should reflect the correct count.","","","As a user, if I click Lines per page ""10"", the number of rows in the employee table should reflect the correct count.",""
"failed","Wed Oct 09 16:35:27 CEST 2024","Wed Oct 09 16:36:12 CEST 2024","44792","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > add an employee , name and surname has numbers","","","Example #3",""
"passed","Thu Oct 10 12:29:46 CEST 2024","Thu Oct 10 12:29:59 CEST 2024","13781","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > verify employee id cant have alphabetic characters","","","Example #1",""
"passed","Thu Oct 10 12:27:46 CEST 2024","Thu Oct 10 12:27:52 CEST 2024","6243","chromium",".cucumber/features/dashboard.feature.spec.js","Main Page Modules and their functionality","","","navigation to Vehicles module",""
"failed","Thu Oct 10 07:57:00 CEST 2024","Thu Oct 10 07:57:53 CEST 2024","53455","",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality","","","if employee id is so long",""
"failed","Thu Oct 10 12:29:17 CEST 2024","Thu Oct 10 12:29:44 CEST 2024","26359","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > Attempt to Add an Employee with a Duplicate Employee ID","","","Example #2",""
"passed","Thu Oct 10 12:27:58 CEST 2024","Thu Oct 10 12:28:19 CEST 2024","20495","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > Verify Employee First Name Filter Functionality","","","Example #1",""
"passed","Thu Oct 10 12:29:45 CEST 2024","Thu Oct 10 12:30:11 CEST 2024","26697","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > Add an employee where name and surname contain numbers","","","Example #3",""
"passed","Thu Oct 10 12:30:26 CEST 2024","Thu Oct 10 12:30:31 CEST 2024","4899","chromium",".cucumber/features/login_And_navigationToDashboard.feature.spec.js","Testing Navigation Success with valid and invalid credentials > 3- User cannot login with a short password less than 6 characters","","","Example #1",""
"passed","Thu Oct 10 12:28:18 CEST 2024","Thu Oct 10 12:28:44 CEST 2024","26305","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > Add and Delete Employees with Valid Data","","","Example #2",""
"passed","Thu Oct 10 12:27:46 CEST 2024","Thu Oct 10 12:27:52 CEST 2024","6581","chromium",".cucumber/features/dashboard.feature.spec.js","Main Page Modules and their functionality","","","navigation to Admin_Users module",""
"passed","Thu Oct 10 12:27:45 CEST 2024","Thu Oct 10 12:27:52 CEST 2024","6377","chromium",".cucumber/features/dashboard.feature.spec.js","Main Page Modules and their functionality","","","navigation to Admin_Options module",""
"passed","Thu Oct 10 12:29:38 CEST 2024","Thu Oct 10 12:30:10 CEST 2024","31985","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > Add an employee where name and surname contain numbers","","","Example #1",""
"failed","Thu Oct 10 12:30:19 CEST 2024","Thu Oct 10 12:30:25 CEST 2024","6393","chromium",".cucumber/features/login_And_navigationToDashboard.feature.spec.js","Testing Navigation Success with valid and invalid credentials > 2- User cannot login with invalid passwords and valid email","","","Example #1",""
"passed","Thu Oct 10 12:30:32 CEST 2024","Thu Oct 10 12:30:36 CEST 2024","4485","chromium",".cucumber/features/login_And_navigationToDashboard.feature.spec.js","Testing Navigation Success with valid and invalid credentials > 3- User cannot login with a short password less than 6 characters","","","Example #3",""
"passed","Thu Oct 10 12:27:53 CEST 2024","Thu Oct 10 12:27:58 CEST 2024","5911","chromium",".cucumber/features/dashboard.feature.spec.js","Main Page Modules and their functionality","","","navigation to Admin_Payout_amounts module",""
"passed","Thu Oct 10 12:29:39 CEST 2024","Thu Oct 10 12:30:12 CEST 2024","32429","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > Add an employee where name and surname contain numbers","","","Example #2",""
"passed","Wed Oct 09 16:20:51 CEST 2024","Wed Oct 09 16:21:06 CEST 2024","15385","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality","","","",""
"passed","Thu Oct 10 12:27:53 CEST 2024","Thu Oct 10 12:28:09 CEST 2024","16761","chromium",".cucumber/features/dashboard.feature.spec.js","Main Page Modules and their functionality","","","navigation to Quickly_Gmbh module",""
"passed","Thu Oct 10 12:27:46 CEST 2024","Thu Oct 10 12:27:52 CEST 2024","6543","chromium",".cucumber/features/dashboard.feature.spec.js","Main Page Modules and their functionality","","","navigation to Admin_Holidays module",""
"passed","Thu Oct 10 12:27:53 CEST 2024","Thu Oct 10 12:28:00 CEST 2024","7231","chromium",".cucumber/features/dashboard.feature.spec.js","Main Page Modules and their functionality","","","navigation to Kinesis GPS module",""
"failed","Thu Oct 10 12:30:30 CEST 2024","Thu Oct 10 12:30:35 CEST 2024","5934","chromium",".cucumber/features/login_And_navigationToDashboard.feature.spec.js","Testing Navigation Success with valid and invalid credentials > 2- User cannot login with invalid passwords and valid email","","","Example #2",""
"broken","Thu Oct 10 12:26:42 CEST 2024","Thu Oct 10 12:27:44 CEST 2024","62371","chromium",".cucumber/features/dashboard.feature.spec.js","Main Page Modules and their functionality","","","navigation to Employee_Attendance module",""
"failed","Wed Oct 09 16:35:26 CEST 2024","Wed Oct 09 16:36:10 CEST 2024","44072","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > add an employee , name and surname has numbers","","","Example #2",""
"passed","Thu Oct 10 07:55:04 CEST 2024","Thu Oct 10 07:55:34 CEST 2024","29699","",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > verify employee id cant have alphabetic characters","","","Example #1",""
"passed","Thu Oct 10 12:27:53 CEST 2024","Thu Oct 10 12:27:58 CEST 2024","5285","chromium",".cucumber/features/dashboard.feature.spec.js","Main Page Modules and their functionality","","","click module",""
"passed","Thu Oct 10 12:30:29 CEST 2024","Thu Oct 10 12:30:33 CEST 2024","4411","chromium",".cucumber/features/login_And_navigationToDashboard.feature.spec.js","Testing Navigation Success with valid and invalid credentials > 3- User cannot login with a short password less than 6 characters","","","Example #2",""
"passed","Thu Oct 10 12:30:00 CEST 2024","Thu Oct 10 12:30:29 CEST 2024","28956","chromium",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > verify employee id cant have alphabetic characters","","","Example #2",""
"passed","Thu Oct 10 07:55:35 CEST 2024","Thu Oct 10 07:57:00 CEST 2024","84398","",".cucumber/features/employee_master_data.feature.spec.js","Employee Master Data Module functionality > verify employee id cant have alphabetic characters","","","Example #2",""
